subset,model,model_label,saved_streams,base_pair_by_split_rows,prediction_rows,direction_accuracy,mae_pdc50,rmse_pdc50,status
all_oof,zero_delta,Zero delta,1,4370,4370,0,1.3817255810671101,1.4286139324864431,ESTIMABLE
all_oof,train_mean,Training mean,1,4370,4370,0.42677345537757438,1.4004047514570364,1.4525274134339068,ESTIMABLE
all_oof,source_prior,Source prior,1,4370,4370,0.45331807780320366,1.3967828263486191,1.4746650654106666,ESTIMABLE
all_oof,nearest_neighbor,Nearest neighbor,1,4370,4370,0.62059496567505723,1.199294123795315,1.6520188309468711,ESTIMABLE
all_oof,ridge,Ridge,1,4370,4370,0.65560640732265452,1.1049875566262677,1.2947391628332381,ESTIMABLE
all_oof,random_forest,Random forest,3,4370,13110,0.60640732265446229,1.2993198277195164,1.3611946860666719,ESTIMABLE
all_oof,xgboost,XGBoost,3,4370,13110,0.63867276887871849,1.1594368522280065,1.3207745097186503,ESTIMABLE
all_oof,permuted_xgboost,Permuted XGBoost,1,4370,4370,0.51578947368421058,1.3786154886461621,1.5068646453952126,ESTIMABLE
no_unordered_identity_pair_in_training,zero_delta,Zero delta,1,4038,4038,0,1.3635382866638823,1.4086038086227097,ESTIMABLE
no_unordered_identity_pair_in_training,train_mean,Training mean,1,4038,4038,0.42743932639920751,1.381944316155292,1.4321311391335929,ESTIMABLE
no_unordered_identity_pair_in_training,source_prior,Source prior,1,4038,4038,0.44923229321446262,1.3785388072247946,1.455393772674485,ESTIMABLE
no_unordered_identity_pair_in_training,nearest_neighbor,Nearest neighbor,1,4038,4038,0.59435364041604755,1.2646700551400643,1.7013385522135502,ESTIMABLE
no_unordered_identity_pair_in_training,ridge,Ridge,1,4038,4038,0.63224368499257055,1.1539708552810612,1.327647773797479,ESTIMABLE
no_unordered_identity_pair_in_training,random_forest,Random forest,3,4038,12114,0.58659402344394918,1.3050759868192714,1.3635595338546489,ESTIMABLE
no_unordered_identity_pair_in_training,xgboost,XGBoost,3,4038,12114,0.61614660723130266,1.2051305814223165,1.3518041718542184,ESTIMABLE
no_unordered_identity_pair_in_training,permuted_xgboost,Permuted XGBoost,1,4038,4038,0.52179296681525511,1.3590475750917612,1.4829801621880643,ESTIMABLE
both_endpoint_identities_absent_from_training,zero_delta,Zero delta,1,3771,3771,0,1.3622575647211606,1.4076127785127419,ESTIMABLE
both_endpoint_identities_absent_from_training,train_mean,Training mean,1,3771,3771,0.4232299124900557,1.3816918371115727,1.4326494640767347,ESTIMABLE
both_endpoint_identities_absent_from_training,source_prior,Source prior,1,3771,3771,0.44497480774330417,1.3789655210425111,1.4578104194430279,ESTIMABLE
both_endpoint_identities_absent_from_training,nearest_neighbor,Nearest neighbor,1,3771,3771,0.58949880668257759,1.2775030812278787,1.7124708187151165,ESTIMABLE
both_endpoint_identities_absent_from_training,ridge,Ridge,1,3771,3771,0.6231768761601697,1.1726623964917817,1.3437696978557652,ESTIMABLE
both_endpoint_identities_absent_from_training,random_forest,Random forest,3,3771,11313,0.57862635905595328,1.3119367848747046,1.3693657777140058,ESTIMABLE
both_endpoint_identities_absent_from_training,xgboost,XGBoost,3,3771,11313,0.60717758331123484,1.2210663244890383,1.3637117835542414,ESTIMABLE
both_endpoint_identities_absent_from_training,permuted_xgboost,Permuted XGBoost,1,3771,3771,0.52161230442853357,1.3586588239951709,1.4831817298634058,ESTIMABLE
both_assay_ids_known,zero_delta,Zero delta,1,2985,2985,0,1.326864745982131,1.3656966977497316,ESTIMABLE
both_assay_ids_known,train_mean,Training mean,1,2985,2985,0.40569514237855947,1.3520438003620454,1.397641669291656,ESTIMABLE
both_assay_ids_known,source_prior,Source prior,1,2985,2985,0.40569514237855947,1.3626235176895116,1.4351381819741893,ESTIMABLE
both_assay_ids_known,nearest_neighbor,Nearest neighbor,1,2985,2985,0.64690117252931323,1.0696927873332842,1.5048397833699734,ESTIMABLE
both_assay_ids_known,ridge,Ridge,1,2985,2985,0.69983249581239526,0.99856398270184765,1.1659773135717104,ESTIMABLE
both_assay_ids_known,random_forest,Random forest,3,2985,8955,0.62601898380792853,1.2296064791887147,1.2850616073162364,ESTIMABLE
both_assay_ids_known,xgboost,XGBoost,3,2985,8955,0.64835287548855391,1.0844677448474425,1.2255177028897382,ESTIMABLE
both_assay_ids_known,permuted_xgboost,Permuted XGBoost,1,2985,2985,0.53098827470686771,1.3091257478333618,1.4402399983306504,ESTIMABLE
