fit_ordinal,cell_id,model,split_seed,fold,model_seed,permutation_seed,fit_budget_units
1,ridge|20260624|0|-1,ridge,20260624,0,-1,,1
2,random_forest|20260624|0|20260624,random_forest,20260624,0,20260624,,1
3,random_forest|20260624|0|20260724,random_forest,20260624,0,20260724,,1
4,random_forest|20260624|0|20260801,random_forest,20260624,0,20260801,,1
5,xgboost|20260624|0|20260624,xgboost,20260624,0,20260624,,1
6,xgboost|20260624|0|20260724,xgboost,20260624,0,20260724,,1
7,xgboost|20260624|0|20260801,xgboost,20260624,0,20260801,,1
8,permuted_xgboost|20260624|0|20260803,permuted_xgboost,20260624,0,20260803,310000000,1
9,ridge|20260624|1|-1,ridge,20260624,1,-1,,1
10,random_forest|20260624|1|20260624,random_forest,20260624,1,20260624,,1
11,random_forest|20260624|1|20260724,random_forest,20260624,1,20260724,,1
12,random_forest|20260624|1|20260801,random_forest,20260624,1,20260801,,1
13,xgboost|20260624|1|20260624,xgboost,20260624,1,20260624,,1
14,xgboost|20260624|1|20260724,xgboost,20260624,1,20260724,,1
15,xgboost|20260624|1|20260801,xgboost,20260624,1,20260801,,1
16,permuted_xgboost|20260624|1|20260803,permuted_xgboost,20260624,1,20260803,310000001,1
17,ridge|20260624|2|-1,ridge,20260624,2,-1,,1
18,random_forest|20260624|2|20260624,random_forest,20260624,2,20260624,,1
19,random_forest|20260624|2|20260724,random_forest,20260624,2,20260724,,1
20,random_forest|20260624|2|20260801,random_forest,20260624,2,20260801,,1
21,xgboost|20260624|2|20260624,xgboost,20260624,2,20260624,,1
22,xgboost|20260624|2|20260724,xgboost,20260624,2,20260724,,1
23,xgboost|20260624|2|20260801,xgboost,20260624,2,20260801,,1
24,permuted_xgboost|20260624|2|20260803,permuted_xgboost,20260624,2,20260803,310000002,1
25,ridge|20260624|3|-1,ridge,20260624,3,-1,,1
26,random_forest|20260624|3|20260624,random_forest,20260624,3,20260624,,1
27,random_forest|20260624|3|20260724,random_forest,20260624,3,20260724,,1
28,random_forest|20260624|3|20260801,random_forest,20260624,3,20260801,,1
29,xgboost|20260624|3|20260624,xgboost,20260624,3,20260624,,1
30,xgboost|20260624|3|20260724,xgboost,20260624,3,20260724,,1
31,xgboost|20260624|3|20260801,xgboost,20260624,3,20260801,,1
32,permuted_xgboost|20260624|3|20260803,permuted_xgboost,20260624,3,20260803,310000003,1
33,ridge|20260624|4|-1,ridge,20260624,4,-1,,1
