split_seed,fold,permutation_seed,derivation
20260624,0,310000000,310000000_plus_split_ordinal_times_5_plus_fold
20260624,1,310000001,310000000_plus_split_ordinal_times_5_plus_fold
20260624,2,310000002,310000000_plus_split_ordinal_times_5_plus_fold
20260624,3,310000003,310000000_plus_split_ordinal_times_5_plus_fold
20260624,4,310000004,310000000_plus_split_ordinal_times_5_plus_fold
20260625,0,310000005,310000000_plus_split_ordinal_times_5_plus_fold
20260625,1,310000006,310000000_plus_split_ordinal_times_5_plus_fold
20260625,2,310000007,310000000_plus_split_ordinal_times_5_plus_fold
20260625,3,310000008,310000000_plus_split_ordinal_times_5_plus_fold
20260625,4,310000009,310000000_plus_split_ordinal_times_5_plus_fold
20260626,0,310000010,310000000_plus_split_ordinal_times_5_plus_fold
20260626,1,310000011,310000000_plus_split_ordinal_times_5_plus_fold
20260626,2,310000012,310000000_plus_split_ordinal_times_5_plus_fold
20260626,3,310000013,310000000_plus_split_ordinal_times_5_plus_fold
20260626,4,310000014,310000000_plus_split_ordinal_times_5_plus_fold
20260724,0,310000015,310000000_plus_split_ordinal_times_5_plus_fold
20260724,1,310000016,310000000_plus_split_ordinal_times_5_plus_fold
20260724,2,310000017,310000000_plus_split_ordinal_times_5_plus_fold
20260724,3,310000018,310000000_plus_split_ordinal_times_5_plus_fold
20260724,4,310000019,310000000_plus_split_ordinal_times_5_plus_fold
20260801,0,310000020,310000000_plus_split_ordinal_times_5_plus_fold
20260801,1,310000021,310000000_plus_split_ordinal_times_5_plus_fold
20260801,2,310000022,310000000_plus_split_ordinal_times_5_plus_fold
20260801,3,310000023,310000000_plus_split_ordinal_times_5_plus_fold
20260801,4,310000024,310000000_plus_split_ordinal_times_5_plus_fold
